time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
3.68,0.83,0.94,-0.22,-6.77,7.59,-1.94,0.04,1.06,2.01,973.61
3.711,-0.42,0.49,-0.12,-6.77,7.59,-1.94,0.04,1.06,2.01,973.61
3.714,-0.42,0.49,-0.12,-6.77,7.59,-1.94,0.38,1.10,-0.56,973.61
3.715,-0.42,0.49,-0.12,-11.13,-2.02,-1.91,0.38,1.10,-0.56,973.61
3.793,0.18,0.75,0.07,-11.13,-2.02,-1.91,0.38,1.10,-0.56,973.61
3.802,0.18,0.75,0.07,-11.13,-2.02,-1.91,0.61,-0.04,-1.83,973.61
3.808,0.18,0.75,0.07,-4.89,0.21,-0.23,0.61,-0.04,-1.83,973.61
3.821,0.33,0.92,-0.01,-4.89,0.21,-0.23,0.61,-0.04,-1.83,973.61
3.824,0.33,0.92,-0.01,-4.89,0.21,-0.23,0.69,-1.19,-3.05,973.61
3.826,0.33,0.92,-0.01,-4.89,0.21,-0.23,0.69,-1.19,-3.05,973.62
3.828,0.33,0.92,-0.01,-2.60,1.15,-0.78,0.69,-1.19,-3.05,973.62
3.938,0.30,1.06,-0.11,-2.60,1.15,-0.78,0.69,-1.19,-3.05,973.62
3.945,0.30,1.06,-0.11,-2.60,1.15,-0.78,0.61,-0.87,-3.66,973.62
3.95,0.30,1.06,-0.11,-1.50,1.68,-1.06,0.61,-0.87,-3.66,973.62
3.954,0.24,1.25,-0.05,-1.50,1.68,-1.06,0.61,-0.87,-3.66,973.62
3.959,0.24,1.25,-0.05,-1.50,1.68,-1.06,0.51,-0.39,-4.04,973.62
3.963,0.24,1.25,-0.05,1.70,2.45,0.29,0.51,-0.39,-4.04,973.62
4.003,0.33,1.41,-0.14,1.70,2.45,0.29,0.51,-0.39,-4.04,973.62
4.006,0.33,1.41,-0.14,1.70,2.45,0.29,0.64,-0.01,-3.45,973.62
4.008,0.33,1.41,-0.14,1.70,2.45,0.29,0.64,-0.01,-3.45,973.62
4.01,0.33,1.41,-0.14,4.56,4.20,-0.26,0.64,-0.01,-3.45,973.62
4.106,0.80,1.18,-0.08,4.56,4.20,-0.26,0.64,-0.01,-3.45,973.62
4.113,0.80,1.18,-0.08,4.56,4.20,-0.26,0.74,0.84,-2.63,973.62
4.119,0.80,1.18,-0.08,10.32,2.20,0.66,0.74,0.84,-2.63,973.62
4.128,0.46,0.77,-0.05,10.32,2.20,0.66,0.74,0.84,-2.63,973.62
4.132,0.46,0.77,-0.05,10.32,2.20,0.66,0.18,-0.50,0.45,973.62
4.137,0.46,0.77,-0.05,7.62,-1.57,1.33,0.18,-0.50,0.45,973.62
4.188,0.46,0.77,-0.05,7.62,-1.57,1.33,-0.99,-0.79,2.03,973.62
4.192,0.46,0.77,-0.05,7.62,-1.57,1.33,-0.99,-0.79,2.03,973.59
4.194,-0.51,1.60,1.19,7.62,-1.57,1.33,-0.99,-0.79,2.03,973.59
4.195,-0.51,1.60,1.19,7.06,-1.75,1.27,-0.99,-0.79,2.03,973.59
4.242,0.52,0.84,0.10,7.06,-1.75,1.27,-0.99,-0.79,2.03,973.59
4.244,0.52,0.84,0.10,7.06,-1.75,1.27,0.47,-0.47,2.18,973.59
4.247,0.52,0.84,0.10,5.57,-1.57,1.57,0.47,-0.47,2.18,973.59
4.303,0.43,1.08,-0.09,5.57,-1.57,1.57,0.47,-0.47,2.18,973.59
4.312,0.43,1.08,-0.09,5.57,-1.57,1.57,-0.07,-0.13,1.28,973.59
4.314,0.43,1.08,-0.09,3.02,0.96,0.39,-0.07,-0.13,1.28,973.59
4.379,-0.19,0.98,-0.03,3.02,0.96,0.39,-0.07,-0.13,1.28,973.59
4.383,-0.19,0.98,-0.03,3.02,0.96,0.39,0.47,-0.19,1.16,973.59
4.385,-0.19,0.98,-0.03,3.02,0.96,0.39,0.47,-0.19,1.16,973.58
4.387,-0.19,0.98,-0.03,-3.82,0.05,0.59,0.47,-0.19,1.16,973.58
4.465,0.21,0.99,-0.13,-3.82,0.05,0.59,0.47,-0.19,1.16,973.58
4.474,0.21,0.99,-0.13,-3.82,0.05,0.59,0.04,0.47,0.55,973.58
4.48,0.21,0.99,-0.13,-0.67,0.39,-0.01,0.04,0.47,0.55,973.58
4.484,0.19,0.98,-0.18,-0.67,0.39,-0.01,0.04,0.47,0.55,973.58
4.488,0.19,0.98,-0.18,-0.67,0.39,-0.01,0.14,0.12,0.74,973.58
4.493,0.19,0.98,-0.18,-0.83,0.29,-0.45,0.14,0.12,0.74,973.58
4.543,0.11,0.99,-0.16,-0.83,0.29,-0.45,0.14,0.12,0.74,973.58
4.546,0.11,0.99,-0.16,-0.83,0.29,-0.45,0.08,0.22,0.65,973.58
4.548,0.11,0.99,-0.16,-0.83,0.29,-0.45,0.08,0.22,0.65,973.58
4.55,0.11,0.99,-0.16,-1.65,0.37,-0.17,0.08,0.22,0.65,973.58
4.604,0.15,0.97,-0.17,-1.65,0.37,-0.17,0.08,0.22,0.65,973.58
4.62,0.15,0.97,-0.17,-1.65,0.37,-0.17,0.01,0.31,0.64,973.58
4.622,0.15,0.97,-0.17,-1.20,0.19,-0.15,0.01,0.31,0.64,973.58
4.696,0.17,0.97,-0.18,-1.20,0.19,-0.15,0.01,0.31,0.64,973.58
4.698,0.17,0.97,-0.18,-1.20,0.19,-0.15,-0.09,0.42,0.87,973.58
4.705,0.17,0.97,-0.18,-1.13,0.24,-0.26,-0.09,0.42,0.87,973.58
4.759,0.17,0.97,-0.18,-1.13,0.24,-0.26,-0.24,0.65,1.29,973.58
4.766,0.17,0.97,-0.18,-1.13,0.24,-0.26,-0.24,0.65,1.29,973.59
4.769,0.18,1.00,-0.17,-1.13,0.24,-0.26,-0.24,0.65,1.29,973.59
4.772,0.18,1.00,-0.17,-1.27,0.29,-0.25,-0.24,0.65,1.29,973.59
4.783,0.20,1.04,-0.06,-1.27,0.29,-0.25,-0.24,0.65,1.29,973.59
4.786,0.20,1.04,-0.06,-1.27,0.29,-0.25,-0.39,0.44,1.79,973.59
4.789,0.20,1.04,-0.06,-1.25,1.04,0.72,-0.39,0.44,1.79,973.59
4.881,0.42,1.54,0.09,-1.25,1.04,0.72,-0.39,0.44,1.79,973.59
4.884,0.42,1.54,0.09,-1.25,1.04,0.72,-0.53,0.61,1.78,973.59
4.886,0.42,1.54,0.09,-0.36,6.37,1.24,-0.53,0.61,1.78,973.59
4.921,0.27,1.23,-0.27,-0.36,6.37,1.24,-0.53,0.61,1.78,973.59
4.923,0.27,1.23,-0.27,-0.36,6.37,1.24,-0.52,-0.47,2.70,973.59
4.925,0.27,1.23,-0.27,-0.36,6.37,1.24,-0.52,-0.47,2.70,973.58
4.927,0.27,1.23,-0.27,-1.59,3.22,-2.25,-0.52,-0.47,2.70,973.58
4.965,0.22,1.06,-0.32,-1.59,3.22,-2.25,-0.52,-0.47,2.70,973.58
4.968,0.22,1.06,-0.32,-1.59,3.22,-2.25,-0.05,1.58,0.93,973.58
4.97,0.22,1.06,-0.32,-3.31,2.25,-2.57,-0.05,1.58,0.93,973.58
5.022,-0.14,0.63,-0.21,-3.31,2.25,-2.57,-0.05,1.58,0.93,973.58
5.024,-0.14,0.63,-0.21,-3.31,2.25,-2.57,0.17,0.39,-0.85,973.58
5.026,-0.14,0.63,-0.21,-5.66,-2.63,-1.45,0.17,0.39,-0.85,973.58
5.083,0.20,0.78,-0.02,-5.66,-2.63,-1.45,0.17,0.39,-0.85,973.58
5.086,0.20,0.78,-0.02,-5.66,-2.63,-1.45,0.48,-0.51,-2.10,973.58
5.089,0.20,0.78,-0.02,-5.66,-2.63,-1.45,0.48,-0.51,-2.10,973.59
5.092,0.20,0.78,-0.02,-1.14,-1.59,0.51,0.48,-0.51,-2.10,973.59
5.144,0.42,0.93,-0.10,-1.14,-1.59,0.51,0.48,-0.51,-2.10,973.59
5.148,0.42,0.93,-0.10,-1.14,-1.59,0.51,0.42,-0.59,-2.89,973.59
5.151,0.42,0.93,-0.10,1.90,-0.34,-0.03,0.42,-0.59,-2.89,973.59
5.203,0.47,1.06,-0.16,1.90,-0.34,-0.03,0.42,-0.59,-2.89,973.59
5.205,0.47,1.06,-0.16,1.90,-0.34,-0.03,0.44,-0.66,-3.07,973.59
5.207,0.47,1.06,-0.16,3.19,0.74,-0.27,0.44,-0.66,-3.07,973.59
5.261,0.31,1.13,-0.17,3.19,0.74,-0.27,0.44,-0.66,-3.07,973.59
